公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數,Latitude,Longitude
3094,聯傑,24,新竹科學園區力行六路6號,楊春俊,"$831,170,890","83,117,089",24.7739123,121.0146132
3130,一零四,36,新北市新店區寶中路119-1號10樓,黃于純,"$331,907,000","33,190,700",24.9797758,121.5496216
3135,凌航,24,新北市中和區中原街101號10樓,林語宸,"$774,934,050","77,493,405",25.0105036,121.485955
3138,耀登,27,(334)桃園市八德區和平路772巷19號,溫文聖,"$503,080,630","50,308,063",24.9560176,121.3192229
3149,正達,26,36647苗栗縣銅鑼鄉中興工業區中興路99號,邱火生,"$2,262,336,040","226,233,604",24.4856082,120.8031073
3150,鈺寶-創,24,新竹市公道五路2段101號10樓之1,黃良駿,"$443,770,010","44,377,001",24.7982091,121.0064127
3164,景岳,22,台南科學工業園區台南市善化區南科七路八號,葉天佑,"$860,103,640","86,010,364",23.1110753,120.2771314
3167,大量,5,(334) 桃園市八德區豐田路68號,林德錚,"$883,901,720","88,390,172",24.9275505,121.2901009
3168,眾福科,26,(221)新北市汐止區新台五路一段93號30F,黃昭維,"$750,996,490","75,099,649",25.0617688,121.6479622
3189,景碩,24,桃園市新屋區中華路1245號,穆顯爵,"$4,569,466,600","456,946,660",24.9932688,121.1006517
3209,全科,29,台北市內湖區瑞光路360號9樓,謝宏昌,"$2,353,911,890","235,391,189",25.0772361,121.5722498
3229,晟鈦,28,新北市新莊區瓊林南路305巷2號,劉文禎,"$642,630,000","64,263,000",25.0060224,121.4342229
3231,緯創,25,新竹縣竹北市智慧路1號,石慶堂,"$31,804,122,500","3,180,412,250",24.8280916,121.0231462
3257,虹冠電,24,新竹科學工業園區新竹市東區園區二路11號5樓,林保偉,"$798,235,900","79,823,590",24.779494,120.9992601
3266,昇陽,14,台北市大安區忠孝東路四段289號12樓,魏岱霖,"$3,523,143,090","352,314,309",25.041701,121.554714
3296,勝德,28,新北市中和區中山路二段407號10樓,賴麗明,"$967,244,500","96,724,450",25.0046716,121.4859889
3305,昇貿,31,桃園市觀音區大潭北路665號,李弘偉,"$1,437,039,000","143,703,900",25.0309103,121.051866
3308,聯德,28,桃園市龜山區科技一路69號,鄧瑞玲,"$600,000,000","60,000,000",25.0523496,121.3755796
3311,閎暉,27,新北市淡水區奎柔山路73號,陳韋齡,"$1,000,000,000","100,000,000",25.2061749,121.4536416
3312,弘憶股,29,台北市內湖區行忠路57號2樓,柯登嘉,"$1,826,268,150","182,626,815",25.0656359,121.5774819
3321,同泰,28,台中市大甲區青年路123號,曾山一,"$861,137,690","86,113,769",24.4032373,120.6498988
3338,泰碩,28,(114)台北市內湖區瑞光路302號3樓,劉克平,"$879,081,410","87,908,141",25.07651,121.5742103
3346,麗清,12,新北市中和區中原街97號5樓,李鋆辰,"$1,212,283,520","121,228,352",25.0106135,121.4858576
3356,奇偶,26,台北市內湖區內湖路一段246號9樓,李建邦,"$799,416,720","79,941,672",25.0819388,121.5661258
3376,新日興,28,新北市樹林區俊英街一七四號,阮朝宗,"$1,957,638,220","195,763,822",25.0062427,121.4269778
